abrupt	陡峭的; 突然的，意外的; 无理的，唐突的; 不连贯的	英 [əˈbrʌpt]　美 [əˈbrʌpt]　
fracture	（使）折断，破碎	英 [ˈfræktʃə(r)]　美 [ˈfræktʃɚ]　
fragile	易碎的，脆的; 虚弱的	英 [ˈfrædʒaɪl]　美 [ˈfrædʒl]　
frantic	发狂的; 发疯似的; 厉害的; 非常的	英 [ˈfræntɪk]　美 [ˈfræntɪk]　
garment	服装; 衣服	英 [ˈgɑ:mənt]　美 [ˈgɑ:rmənt]　
garment	服装; 衣服	英 [ˈgɑ:mənt]　美 [ˈgɑ:rmənt]　
gasp	喘气，喘息; 倒抽气; 渴望	英 [gɑ:sp]　美 [gæsp]　
gauge	评估; 测量的标准或范围; 尺度，标准; 测量仪器	英 [ɡeɪdʒ]　美 [ɡedʒ]　
gleam	（使）闪烁，（使）闪亮	英 [gli:m]　美 [ɡlim]　
glare	怒目而视	英 [gleə(r)]　美 [gler]　
generalise	概括，归纳，推论	英 ['dʒenərəlaɪz]　美 ['dʒenərəlˌaɪz]　
genetic	基因的; 遗传的; 起源的，起因的; 演变的	英 [dʒəˈnetɪk]　美 [dʒəˈnɛtɪk]　
geology	地质学; （某地区的）地质情况; 地质学的著作	英 [dʒiˈɒlədʒi]　美 [dʒiˈɑ:lədʒi]　
gigantic	巨大的，庞大的; 巨人似的; 硕大无比; 排山倒海	英 [dʒaɪˈgæntɪk]　美 [dʒaɪˈɡæntɪk]　
gloomy	黑暗的; 令人沮丧的; 前景黯淡的; 悲观的，阴郁的	英 [ˈglu:mi]　美 [ˈɡlumi]　
gossip	流言蜚语，谣言; 爱讲闲话的人; 谈话，闲话; 关系亲密的伙伴	英 [ˈgɒsɪp]　美 [ˈgɑ:sɪp]　
gown	长袍，长外衣; 女长服; 罩袍; 大学的学生和教师	英 [gaʊn]　美 [ɡaʊn]　
graze	放牧; （让动物）吃草; 轻擦，擦破	英 [greɪz]　美 [ɡrez]　
grease	动物油脂; 油膏，润滑油; 〈俚〉贿赂	英 [gri:s]　美 [ɡris]　
grieve	使伤心; 使悲伤	英 [gri:v]　美 [ɡriv]　
grill	烧烤	英 [grɪl]　美 [ɡrɪl]　
groan	呻吟; 抱怨; 发牢骚; 吱嘎声：因压力而发出声响	英 [grəʊn]　美 [groʊn]　
groove	沟，槽; [俚语]常规，老套：确定的规范; [俚语]理想状况; [俚语]非常愉快的经历	英 [gru:v]　美 [ɡruv]　
grope	触摸，试探着前进; 探索，摸索	英 [grəʊp]　美 [groʊp]　
hamper	妨碍，束缚，限制; 使困累	英 [ˈhæmpə(r)]　美 [ˈhæmpɚ]　
handicap	障碍; 缺陷; 不利条件; 给弱者增加的杆数（按击球次数计数，并随参赛者的进步而减少）	英 [ˈhændikæp]　美 [ˈhændiˌkæp]　
harassment	袭扰; 骚扰，扰乱; 折磨人的东西; 烦恼，忧虑	英 ['hærəsmənt]　美 [hə'ræsmənt]　
hasty	草率的; 轻率的; 仓促完成的; 急忙的	英 [ˈheɪsti]　美 ['heɪsti]　
hatch	孵化; 孵出，破壳而出	英 [hætʃ]　美 [hætʃ]　
heir	继承人; 后嗣，嗣子	英 [eə(r)]　美 [er]　
henceforth	从今以后，今后	英 [ˌhensˈfɔ:θ]　美 [ˌhensˈfɔ:rθ]　
herb	草，草本植物; 药草，香草; 牧草	英 [hɜ:b]　美 [ɜ:rb]　
heritage	遗产; 传统; 文化遗产; 继承物	英 [ˈherɪtɪdʒ]　美 [ˈhɛrɪtɪdʒ]　
historian	历史学家，史学工作者	英 [hɪˈstɔ:riən]　美 [hɪˈstɔriən]　
homogeneous	均匀的; 同性质的，同类的; 由相同（或同类型）事物（或人）组成的; [数]齐性的，齐次的	英 [ˌhɒməˈdʒi:niəs]　美 [ˌhoʊməˈdʒi:niəs]　
hop	跳上[下]; 单足蹦跳; 齐足（或双足）跳行; 摘葎草花	英 [hɒp]　美 [hɑ:p]　
hose	软管，胶皮管; 长筒袜; 男性穿的紧身裤	英 [həʊz]　美 [hoʊz]　
hound	猎狗，猎犬; 卑劣的人; [动]角鲨，星鲨，弓鳍鱼; 有…迷[瘾]的人	英 [haʊnd]　美 [haʊnd]　
howl	哀号，吼叫	英 [haʊl]　美 [haʊl]　
hug	热烈地拥抱，抱住，紧抱	英 [hʌg]　美 [hʌɡ]　
hurl	丢下，用力投掷; 大声叫骂，愤慨的说出; 推到，推翻	英 [hɜ:l]　美 [hɜ:rl]　
hurricane	飓风，十二级风; 飓风般猛烈的东西; （感情等的）爆发; 飓风式战斗驱逐机	英 [ˈhʌrɪkən]　美 [ˈhɜ:rəkən]　
hysterical	癔病性; 歇斯底里般的; 癔病的; 情绪异常激动的	英 [hɪˈsterɪkl]　美 [hɪˈstɛrɪkəl]　
identification	认同; 鉴定，识别; 验明; 身份证明	英 [aɪˌdentɪfɪˈkeɪʃn]　美 [aɪˌdɛntəfɪˈkeʃən]　
idiot	白痴; 傻瓜，笨蛋	英 [ˈɪdiət]　美 [ˈɪdiət]　
illusion	错觉; 幻想; 假象; 错误观念	英 [ɪˈlu:ʒn]　美 [ɪˈluʒən]　
imitation	仿制品; 模仿，仿效; 赝品; [生]拟态	英 [ˌɪmɪˈteɪʃn]　美 [ˌɪmɪˈteʃən]　
impart	传授; 给予; 告知，透露	英 [ɪmˈpɑ:t]　美 [ɪmˈpɑ:rt]　
imperative	势在必行的; 必要的，不可避免的; 命令的，专横的; [语]祈使的	英 [ɪmˈperətɪv]　美 [ɪmˈpɛrətɪv]　
imperial	帝国的，皇帝的; 皇家的，庄严的; 特级的; 度量衡英制的	英 [ɪmˈpɪəriəl]　美 [ɪmˈpɪriəl]　
impetus	动力; 势头; 促进; 声势	英 [ˈɪmpɪtəs]　美 [ˈɪmpɪtəs]　
impulse	凭冲动行事; 突如其来的念头; [电子]脉冲; [医]冲动，搏动	英 [ˈɪmpʌls]　美 [ˈɪmˌpʌls]　
inaugurate	开创; 创始; 举行开幕典礼; 举行就职典礼	英 [ɪˈnɔ:gjəreɪt]　美 [ɪnˈɔɡjəˌret]　
incidentally	顺便; 附带; 捎带; 偶然地，不经意地	英 [ˌɪnsɪˈdentli]　美 [ˌɪnsɪˈdɛntli]　
incorporate	包含; 组成公司; 使混合; 使具体化	英 [ɪnˈkɔ:pəreɪt]　美 [ɪnˈkɔ:rpəreɪt]　
incur	遭受; 招致，引起	英 [ɪnˈkɜ:(r)]　美 [ɪnˈkɚ]　
indefinite	无限期的，无限期的; 不明确的，模糊的; 模糊的; [语]不定的	英 [ɪnˈdefɪnət]　美 [ɪnˈdɛfənɪt]　
indicative	象征的; 指示的，表示的; [语]陈述的，直陈的	英 [ɪnˈdɪkətɪv]　美 [ɪnˈdɪkətɪv]　
indulge	迁就，纵容; 使满足; 使（自己）沉溺于; 使快乐	英 [ɪnˈdʌldʒ]　美 [ɪnˈdʌldʒ]　
inertia	惯性，惰性; 迟钝; 不活动	英 [ɪˈnɜ:ʃə]　美 [ɪˈnɜ:rʃə]　
infectious	传染的; 有传染性的; 易传染的; 有感染力的	英 [ɪnˈfekʃəs]　美 [ɪnˈfɛkʃəs]　
ingenious	精巧的; 灵巧的; 设计独特的; 有天才的，聪明的	英 [ɪnˈdʒi:niəs]　美 [ɪnˈdʒinjəs]　
inherent	天生; 固有的，内在的	英 [ɪnˈhɪərənt]　美 [ɪnˈhɪrənt]　
innovation	改革，创新; 新观念; 新发明; 新设施	英 [ˌɪnəˈveɪʃn]　美 [ˌɪnəˈveʃən]　
innumerable	不可胜数; 无数的，数不清的; 指不胜屈; 无可胜数	英 [ɪˈnju:mərəbl]　美 [ɪˈnu:mərəbl]　
intact	完好无损; 原封不动的; 完整无缺的，未经触动的，未受损伤的; 完好无缺	英 [ɪnˈtækt]　美 [ɪn'tækt]　
intensify	（使）增强，（使）加剧; 增加（照片图象）的对比度; 变强或增强	英 [ɪnˈtensɪfaɪ]　美 [ɪnˈtɛnsəˌfaɪ]　
intelligible	可理解的，明白易懂的，清楚的	英 [ɪnˈtelɪdʒəbl]　美 [ɪnˈtɛlɪdʒəbəl]　
intellect	知识分子; 智力，理解力; 有才智的人	英 [ˈɪntəlekt]　美 [ˈɪntlˌɛkt]　
intersection	横断，横切; 交叉，相交; 交叉点，交叉线; [数]交集	英 [ˌɪntəˈsekʃn]　美 [ˌɪntərˈsekʃn]　
inspiration	灵感; 吸气; 鼓舞人心的人或事; 启发灵感的人（或事物）	英 [ˌɪnspəˈreɪʃn]　美 [ˌɪnspəˈreʃən]　
instalment	分期付款; 装设; 就职; （小说等）分期连载的一部分	英 [ɪnˈstɔ:lmənt]　美 [ɪnˈstɔːlmənt]　
instrumental	仪器的; 乐器的; 有帮助的; 起作用的	英 [ˌɪnstrəˈmentl]　美 [ˌɪnstrəˈmɛntl]　
insulate	使隔离，使孤立; 使绝缘，使隔热	英 [ˈɪnsjuleɪt]　美 [ˈɪnsəleɪt]　
intercourse	交流，交往，交际; [生]交合	英 [ˈɪntəkɔ:s]　美 [ˈɪntərkɔ:rs]　
intimidate	恐吓，威胁	英 [ɪnˈtɪmɪdeɪt]　美 [ɪnˈtɪmɪˌdet]　
inventory	清查; 存货清单; 财产目录，财产目录的编制; 存货总值	英 [ˈɪnvəntri]　美 [ˈɪnvəntɔ:ri]　
invalid	无效的; 不能成立的; 有病的; 病人用的	英 [ɪnˈvælɪd]　美 [ˈɪnvəlɪd]　
irritate	刺激，使兴奋; 使发怒; 使感到不适; 使疼痛，使发炎	英 [ˈɪrɪteɪt]　美 [ˈɪrɪˌtet]　
irrigation	灌溉; 水利; [医]冲洗; 冲注洗剂	英 [ˌɪrɪ'ɡeɪʃn]　美 [ˌɪrɪ'ɡeɪʃn]　
irrespective	无关的; 不考虑的，不顾的	英 [ˌɪrɪ'spektɪv]　美 [ˌɪrɪˈspɛktɪv]　
ivory	象牙; 象牙色; 象牙制品; 象牙质	英 [ˈaɪvəri]　美 [ˈaɪvəri, ˈaɪvri]　
jeopardize	危及，损害; 使陷入险境或受伤; 使…遇险	英 [ˈdʒepədaɪz]　美 [ˈdʒepərdaɪz]　
jerk	猛拉; 把（牛肉）切成薄片晒干	英 [dʒɜ:k]　美 [dʒɜ:rk]　
kidney	肾，肾脏; （可食用的动物的）腰子; 脾气，性格	英 [ˈkɪdni]　美 [ˈkɪdni]　
kit	衣物和装备; 成套用品; 配套元件	英 [kɪt]　美 [kɪt]　
knit	编织，编结; 接合（折骨等）; 使皱起，使皱紧; 使紧密相联	英 [nɪt]　美 [nɪt]　
knob	球形把手; （收音机等的）旋钮; 小块; 疙瘩	英 [nɒb]　美 [nɑ:b]　
lash	鞭挞，鞭子; 责骂; 讽刺; 眼睫毛	英 [læʃ]　美 [læʃ]　
layman	俗人; 门外汉，外行; 一般信徒	英 [ˈleɪmən]　美 [ˈlemən]　
layman	俗人; 门外汉，外行; 一般信徒	英 [ˈleɪmən]　美 [ˈlemən]　
leaflet	传单，散页印刷品; 小叶，嫩叶; 复叶的一片; 叶状器官	英 [ˈli:flət]　美 [ˈliflɪt]　
legend	传说; 传奇人物; 图例; 铭文	英 [ˈledʒənd]　美 [ˈlɛdʒənd]　
legitimate	合法的，合理的; 正规的; 合法婚姻所生的; 真正的，真实的	英 [lɪˈdʒɪtɪmət]　美 [ləˈdʒɪtəmɪt]　
lever	杠杆; 操作杆; 工具	英 [ˈli:və(r)]　美 [ˈlevər]　
levy	征税; 征兵	英 [ˈlevi]　美 [ˈlɛvi]　
liability	责任; 债务; 倾向; 妨碍	英 [ˌlaɪəˈbɪləti]　美 [ˌlaɪəˈbɪlɪti]　
limp	跛行; 挣扎着慢慢前进; （诗的）韵律紊乱	英 [lɪmp]　美 [lɪmp]　
linear	直线的，线形的; 长度的; 一次的，线性的; 通过单独的若干阶段来发展	英 [ˈlɪniə(r)]　美 [ˈlɪniər]　
linen	亚麻布，亚麻线; 家庭日用织品	英 [ˈlɪnɪn]　美 [ˈlɪnən]　
locality	地区; 位置; 产地	英 [ləʊˈkæləti]　美 [loʊˈkæləti]　
locomotive	机车; 火车头	英 [ˌləʊkəˈməʊtɪv]　美 [ˌloʊkəˈmoʊtɪv]　
lubricate	加油润滑; 使润滑	英 [ˈlu:brɪkeɪt]　美 [ˈlubrɪˌket]　
literally	逐字地; 照字面地; 确实地，真正地; [口语]差不多，简直（用于加强语意）	英 [ˈlɪtərəli]　美 [ˈlɪtərəli]　
luminous	发光的; 明亮的; 清楚的; 辉赫	英 [ˈlu:mɪnəs]　美 [ˈlumənəs]　
magistrate	地方法官，治安官; 文职官员; 治安推事	英 [ˈmædʒɪstreɪt]　美 [ˈmædʒɪˌstret, -strɪt]　
manoeuvre	调遣，换防，对抗演习，操纵; 技术动作; 策略，巧计; 花招，伎俩	英 [məˈnu:və(r)]　美 [məˈnuvɚ, -ˈnju-]　
mansion	大厦; 宅第，公馆	英 [ˈmænʃn]　美 [ˈmænʃən]　
marble	大理石; 大理石制品; 弹子游戏; 理智，常识	英 [ˈmɑ:bl]　美 [ˈmɑ:rbl]　
marsh	沼泽，湿地	英 [mɑ:ʃ]　美 [mɑ:rʃ]　
marshal	元帅; 典礼官; 执法官; 消防局长	英 [ˈmɑ:ʃl]　美 [ˈmɑ:rʃl]　
masculine	男子气概的; 阳性的，雄性的; 男性化的，像男人的	英 [ˈmæskjəlɪn]　美 [ˈmæskjəlɪn]　
melody	歌曲; 旋律，曲调; 美妙的音乐，和谐的调子; 好听的声音	英 [ˈmelədi]　美 [ˈmɛlədi]　
memorise	记住，熟记	英 ['meməraɪz]　美 ['meməraɪz]　
mercury	[化]汞，水银; [天]水星; 温度表; 精神，元气	英 [ˈmɜ:kjəri]　美 [ˈmɜ:rkjəri]　
messenger	信使，信差; 先驱; [军]通信兵，传令兵	英 [ˈmesɪndʒə(r)]　美 [ˈmɛsəndʒɚ]　
metallic	金属的; 金属性的; 金属制的; 含金属的	英 [məˈtælɪk]　美 [məˈtælɪk]　
metropolitan	大都会的; 大城市的; 宗主国的; 大主教教区的	英 [ˌmetrəˈpɒlɪtən]　美 [ˌmetrəˈpɑ:lɪtən]　
midst	中部，中间，当中	英 [mɪdst]　美 [mɪdst, mɪtst]　
migrant	候鸟; 移居者，移民; 随季节迁移的工作者; 迁移动物	英 [ˈmaɪgrənt]　美 [ˈmaɪɡrənt]　
migrate	移动; 迁移，移往; 随季节而移居	英 [maɪˈgreɪt]　美 [ˈmaɪgreɪt]　
miniature	小型的，微小的	英 [ˈmɪnətʃə(r)]　美 [ˈmɪniəˌtʃʊr, -tʃɚ, ˈmɪnə-]　
minimise	把…减至最低数量[程度]; 对（某事物）作最低估计，极力贬低（某事物）的价值[重要性]	英 ['mɪnɪmaɪz]　美 ['mɪnɪmaɪz]　
minimize	把…减至最低数量[程度]; 对（某事物）作最低估计，极力贬低（某事物）的价值[重要性]; 极度轻视	英 [ˈmɪnɪmaɪz]　美 [ˈmɪnəˌmaɪz]　
mint	薄荷; 铸币厂; 大量，尤指钱; 来源	英 [mɪnt]　美 [mɪnt]　
misery	痛苦; 不幸; 穷困; 悲惨的境遇	英 [ˈmɪzəri]　美 [ˈmɪzəri]　
missionary	传教士; 宣传者	英 [ˈmɪʃənri]　美 [ˈmɪʃəneri]　
mistress	情妇; 主妇，女主人; 霸主，女统治者; 女教师	英 [ˈmɪstrəs]　美 [ˈmɪstrɪs]　
mob	暴徒; 犯罪团伙，黑手党; 民众，乌合之众; 〈美俚〉匪帮，一群罪犯	英 [mɒb]　美 [mɑ:b]　
mobilise	动员起来，调动，鼓动起	英 ['məʊbɪlɑɪz]　美 ['moʊbɪlɑɪz]　
mobilize	调动; 动员; 组织，动员起来	英 [ˈməʊbəlaɪz]　美 [ˈmoʊbəlaɪz]　
momentum	势头; 动力; [物]动量; 要素，契机	英 [məˈmentəm]　美 [moʊˈmentəm]　
monster	巨大的，庞大的; （建筑物）巍峨的	英 [ˈmɒnstə(r)]　美 [ˈmɑ:nstə(r)]　
morality	道德; 道德观; 道德准则; 品德高尚的行为	英 [məˈræləti]　美 [məˈrælɪti, mɔ-]　
mortgage	抵押; 抵押单据，抵押证明; 抵押权，债权	英 [ˈmɔ:gɪdʒ]　美 [ˈmɔ:rgɪdʒ]　
motel	汽车旅馆	英 [məʊˈtel]　美 [moʊˈtel]　
muddy	泥泞的; 暗的; 模糊的; 糊涂的	英 [ˈmʌdi]　美 [ˈmʌdi]　
municipal	市的，市政的; 地方自治的; 都市的，市营的，市制的; 内政的	英 [mju:ˈnɪsɪpl]　美 [mjuˈnɪsəpəl]　
murmur	咕哝，发牢骚; 低声的抱怨; 低声说话	英 [ˈmɜ:mə(r)]　美 [ˈmɜ:rmə(r)]　
muscular	肌肉的; 壮健的，肌肉发达的，强壮的	英 [ˈmʌskjələ(r)]　美 [ˈmʌskjəlɚ]　
naive	天真的; 幼稚的; 单纯的	英 [naɪˈi:v]　美 [nɑˈiv]　
napkin	尿布; 餐巾，餐巾纸; （女士）卫生巾	英 [ˈnæpkɪn]　美 [ˈnæpkɪn]　
narrative	故事; 记叙文; 叙述，记事; 叙述手法	英 [ˈnærətɪv]　美 [ˈnærətɪv]　
nasty	肮脏的; 下流的，令人讨厌的; 恶劣的，艰险的; 严重的	英 [ˈnɑ:sti]　美 [ˈnæsti]　
nil	无，零; 零分	英 [nɪl]　美 [nɪl]　
nominal	名义上的; 微不足道的; 票面上的; 名字的，列名的	英 [ˈnɒmɪnl]　美 [ˈnɑ:mɪnl]　
nominate	任命; 提名…为候选人; 挑选; 指定（时间、日期、名称等）	英 [ˈnɒmɪneɪt]　美 [ˈnɑ:mɪneɪt]　
notation	记号，标记法	英 [nəʊˈteɪʃn]　美 [noʊˈteɪʃn]　
odor	气味，名声	英 ['əʊdə]　美 ['oʊdə]　
offset	抵消; 补偿; （为了比较的目的而）把…并列（或并置）; 为（管道等）装支管	英 [ˈɒfset]　美 [ˈɔ:fset]　
olive	橄榄; 橄榄色; 橄榄树; 油橄榄	英 [ˈɒlɪv]　美 [ˈɑ:lɪv]　
opaque	不透明的; 无光泽的，晦暗的; 不传导性的; 含糊的，迟钝的	英 [əʊˈpeɪk]　美 [oʊˈpeɪk]　
optimism	乐观; 乐观主义	英 [ˈɒptɪmɪzəm]　美 [ˈɑ:ptɪmɪzəm]　
orient	标定方向; 使…向东方; 以…为参照; 使熟悉或适应	英 [ˈɔ:rient]　美 [ˈɔriənt, -ˌɛnt, ˈor-]　
oriental	东方的; 东方人的; 东方文化的; 优质的	英 [ˌɔ:riˈentl]　美 [ˌɔriˈɛntl, ˌor-]　
orientation	方向，定位，取向，排列方向; 任职培训; （外交等的）方针[态度]的确定; 环境判定	英 [ˌɔ:riənˈteɪʃn]　美 [ˌɔriɛnˈteʃən, -ən-, ˌor-]　
ornament	装饰; 装饰物; [乐]装饰音	英 [ˈɔ:nəmənt]　美 [ˈɔ:rnəmənt]　
outbreak	（战争，怒气等的）爆发; 突然发生	英 [ˈaʊtbreɪk]　美 [ˈaʊtˌbrek]　
outrage	愤慨; 暴行; 义愤; 骇人听闻的事件	英 [ˈaʊtreɪdʒ]　美 [ˈaʊtˌredʒ]　
overflow	溢出，淹没; 挤满，充满; 洋溢; 资源过剩	英 [ˌəʊvəˈfləʊ]　美 [ˌoʊvərˈfloʊ]　
overpass	立交桥，天桥，高架道路	英 [ˈəʊvəpɑ:s]　美 [ˈoʊvərpæs]　
overt	公开的; 明显的; 公然的; 阳	英 [əʊˈvɜ:t]　美 [oʊˈvɜ:rt]　
overwhelming	势不可挡的，压倒一切的，巨大的; 压倒一切的欢乐	英 [ˌəʊvəˈwelmɪŋ]　美 [ˌoʊvərˈwelmɪŋ]　
oxide	[化]氧化物	英 [ˈɒksaɪd]　美 [ˈɑ:ksaɪd]　
ozone	[化]臭氧; 清新空气	英 [ˈəʊzəʊn]　美 [ˈoʊzoʊn]　
pact	公约; 条约，公约	英 [pækt]　美 [pækt]　
partition	分割; 隔墙; 划分，分开; 隔离物	英 [pɑ:ˈtɪʃn]　美 [pɑ:rˈtɪʃn]　
pastime	消遣，娱乐	英 [ˈpɑ:staɪm]　美 [ˈpæstaɪm]　
pamphlet	小册子; 活页文选	英 [ˈpæmflət]　美 [ˈpæmflɪt]　
paperback	平装本，平装书	英 [ˈpeɪpəbæk]　美 [ˈpeɪpərbæk]　
paradox	反论，悖论; 似非而是的论点; 自相矛盾的人或事; [物]佯谬	英 [ˈpærədɒks]　美 [ˈpærədɑ:ks]　
patent	专利; 专利权; 专利品; 专利证	英 [ˈpætnt]　美 [ˈpætnt]　
patrol	巡逻，巡查; 巡逻队，侦察队; 童子军小队	英 [pəˈtrəʊl]　美 [pəˈtroʊl]　
pave	铺设; 为…铺平道路; 安排	英 [peɪv]　美 [pev]　
peanut	花生; 微不足道的人，小人物; 很少的钱	英 [ˈpi:nʌt]　美 [ˈpiˌnʌt]　
pedal	踏板; 脚蹬子; 垂足线	英 [ˈpedl]　美 [ˈpɛdl]　
pedestrian	行人; 步行者	英 [pəˈdestriən]　美 [pəˈdɛstriən]　
peel	剥皮; 覆盖层脱落，剥落	英 [pi:l]　美 [pil]　
pendulum	摆，钟摆; 摇摆不定的事态（或局面）	英 [ˈpendjələm]　美 [ˈpendʒələm]　
perfection	完善; 完美; 圆满; 最后加工	英 [pəˈfekʃn]　美 [pərˈfekʃn]　
perfume	香水; 香料; 香味，香气	英 [ˈpɜ:fju:m]　美 [pərˈfju:m]　
periodic	周期的; 定期的; 回归的; 间歇的，时而发生的	英 [ˌpɪəriˈɒdɪk]　美 [ˌpɪriˈɑ:dɪk]　
periodical	期刊; 杂志	英 [ˌpɪəriˈɒdɪkl]　美 [ˌpɪriˈɑ:dɪkl]　
perish	毁灭; 死亡，丧生; 腐烂，枯萎; 老化	英 [ˈperɪʃ]　美 [ˈpɛrɪʃ]　
permeate	渗透; 渗入; 弥漫; 遍布	英 [ˈpɜ:mieɪt]　美 [ˈpɜ:rmieɪt]　
permissible	许可的; 可允许的; 不碍事的; 得到准许的	英 [pəˈmɪsəbl]　美 [pərˈmɪsəbl]　
petition	请愿书，; 请愿，请求; 上诉状	英 [pəˈtɪʃn]　美 [pəˈtɪʃən]　
pirate	海盗船; 盗版者; 海盗，强盗; 侵害版权者	英 [ˈpaɪrət]　美 [ˈpaɪrɪt]　
pistol	手枪	英 [ˈpɪstl]　美 [ˈpɪstəl]　
plaster	石膏; 膏药; 灰泥，涂墙泥	英 [ˈplɑ:stə(r)]　美 [ˈplæstə(r)]　
plausible	貌似真实的; 貌似有理的; 花言巧语的; 有眉有眼	英 [ˈplɔ:zəbl]　美 [ˈplɔzəbəl]　
plea	恳求，请求; （被告或被告律师的）抗辩，答辩; 借口，托辞; 请愿	英 [pli:]　美 [pli]　
plight	境况，困境; 誓约	英 [plaɪt]　美 [plaɪt]　
porch	门廊; 游廊，走廊	英 [pɔ:tʃ]　美 [pɔ:rtʃ]　
portray	描绘; 描述; 画像; 描画	英 [pɔ:ˈtreɪ]　美 [pɔ:rˈtreɪ]　
precede	在…之前发生或出现，先于; 在…之上，优于; 给…作序; 处于…前面的位置	英 [prɪˈsi:d]　美 [prɪˈsid]　
precedent	先例; 前例	英 [ˈpresɪdənt]　美 [ˈprɛsɪdənt]　
preclude	排除; 妨碍; 阻止	英 [prɪˈklu:d]　美 [prɪˈklud]　
predominant	主要的，占主导地位的; 占优势的，卓越的; 有影响的; 特优种	英 [prɪˈdɒmɪnənt]　美 [prɪˈdɑ:mɪnənt]　
premier	总理; 首相	英 [ˈpremiə(r)]　美 [prɪˈmɪr]　
premise	前提; [复数]房屋; [复数][合同、契约用语]上述各点; （逻辑学中的）大[小]前提	英 ['premɪs]　美 [ˈprɛmɪs]　
premium	保险费; 额外费用; 附加费	英 [ˈpri:miəm]　美 [ˈprimiəm]　
prescription	处方药; [医]药方，处方; 训令，指示; 法规	英 [prɪˈskrɪpʃn]　美 [prɪˈskrɪpʃən]　
prestige	声誉; 威信，威望，声望; （财势的）显赫; 信望	英 [preˈsti:ʒ]　美 [prɛˈstiʒ, -ˈstidʒ]　
prevalent	流行的，盛行的; 普遍存在的，普遍发生的	英 [ˈprevələnt]　美 [ˈprɛvələnt]　
preview	试映，预演; 预告片; 象征，预示	英 [ˈpri:vju:]　美 [ˈpriˌvju]　
prey	被捕食的动物; 捕食（习性）; 受害者; 受骗者	英 [preɪ]　美 [pre]　
privacy	隐私，秘密; 隐居; 私事; 不受公众干扰的状态	英 [ˈprɪvəsi]　美 [ˈpraɪvəsi]　
probe	探头; [医]（对伤处等的）针探，探查; [医]探针，取样器; 探测仪	英 [prəʊb]　美 [proʊb]　
productive	多产的; 富有成效的; 生产性的; 具有创造性的	英 [prəˈdʌktɪv]　美 [prəˈdʌktɪv, pro-]　
profitable	有利可图的，有益的; 可赚钱的，合算的	英 [ˈprɒfɪtəbl]　美 [ˈprɑ:fɪtəbl]　
profound	深厚的; 意义深远的; 严重的; 知识渊博的	英 [prəˈfaʊnd]　美 [prəˈfaʊnd, pro-]　
promising	有前途的; 有为; 有希望的; 光明	英 [ˈprɒmɪsɪŋ]　美 [ˈprɑ:mɪsɪŋ]　
prone	俯卧的; 易于…的; 有…倾向的; 倾斜的，坡陡的	英 [prəʊn]　美 [proʊn]　
propel	推动; 推进; 驱使; 驱动	英 [prəˈpel]　美 [prəˈpɛl]　
prophet	预言家，先知; 倡导者，主张者	英 [ˈprɒfɪt]　美 [ˈprɑ:fɪt]　
proposition	命题; 主张; 建议	英 [ˌprɒpəˈzɪʃn]　美 [ˌprɑ:pəˈzɪʃn]　
prose	散文; 单调，平凡; 枯燥无味的话，无聊的议论	英 [prəʊz]　美 [proʊz]　
prosecute	起诉; 控告; 继续从事; 担任控方律师	英 [ˈprɒsɪkju:t]　美 [ˈprɑ:sɪkju:t]　
provocative	挑衅的; 刺激性的	英 [prəˈvɒkətɪv]　美 [prəˈvɑ:kətɪv]　
psychiatrist	精神病医生; 精神病专家，精神病医生	英 [saɪˈkaɪətrɪst]　美 [saɪ'kaɪətrɪst]　
pudding	（一道）甜食，甜点心; 布丁（通常用面粉经烘烤或蒸煮做成的美味甜食品）; 肥胖而迟钝的人; [航]船尾碰垫	英 [ˈpʊdɪŋ]　美 [ˈpʊdɪŋ]　
pumpkin	南瓜; 南瓜的果肉，南瓜囊; 〈俚〉重要人物	英 [ˈpʌmpkɪn]　美 [ˈpʌmpkɪn, ˈpʌm-, ˈpʌŋ-]　
quantify	确定…的数量; [逻辑学] 用量词限定	英 [ˈkwɒntɪfaɪ]　美 [ˈkwɑ:ntɪfaɪ]　
quantitative	定量的; 数量（上）的	英 [ˈkwɒntɪtətɪv]　美 [ˈkwɑ:ntəteɪtɪv]　
quench	解（渴）; 终止（某事物）; （用水）扑灭（火焰等）; 将（热物体）放入水中急速冷却	英 [kwentʃ]　美 [kwɛntʃ]　
quest	追求; 探索; 远征; 验尸陪审团	英 [kwest]　美 [kwɛst]　
questionnaire	调查问卷; 调查表	英 [ˌkwestʃəˈneə(r)]　美 [ˌkwestʃəˈner]　
quiver	微颤，抖动	英 [ˈkwɪvə(r)]　美 [ˈkwɪvɚ]　
quota	配额; 指标; （正式限定的）定量，定额	英 [ˈkwəʊtə]　美 [ˈkwoʊtə]　
racket	（网球等）球拍; 〈美俚〉勒索金钱，讹诈，敲诈，骗局; （四周有围墙的）拍打回力网球，硬壁回力球; 喧骚，吵闹，嚷闹，扰嚷，喧骚嘈杂的集会，狂欢	英 [ˈrækɪt]　美 [ˈrækɪt]　
radiant	辐射的; 容光焕发的; 照耀的	英 [ˈreɪdiənt]　美 [ˈrediənt]　
radiate	辐射; 发射; 使向周围扩展	英 [ˈreɪdieɪt]　美 [ˈrediˌet]　
